Epoch,Train_Loss,Val_Loss,Motion_Loss_Val,Caption_Loss_Val
1,2.1820,1.5941,0.0671,1.5270
2,1.4875,1.4508,0.0693,1.3814
3,1.3549,1.3897,0.0705,1.3192
4,1.2679,1.3539,0.0693,1.2845
5,1.2024,1.3309,0.0671,1.2637
6,1.1453,1.3195,0.0675,1.2521
7,1.0969,1.3173,0.0671,1.2502
8,1.0517,1.3178,0.0672,1.2506
9,1.0086,1.3267,0.0687,1.2579
10,0.9692,1.3288,0.0676,1.2612
11,0.9283,1.3505,0.0731,1.2774
12,0.8936,1.3555,0.0674,1.2880
